Latitude (decimal degrees):	10.702
Longitude (decimal degrees):	122.562
Elevation (m):	9
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180820:1030,0.0,0.0,-6.53,27.39,4.34,0.0
20180820:1130,0.0,0.0,0.0,26.78,4.0,0.0
20180820:1230,0.0,0.0,0.0,26.41,3.79,0.0
20180820:1330,0.0,0.0,0.0,26.21,3.52,0.0
20180820:1430,0.0,0.0,0.0,25.97,3.66,0.0
20180820:1530,0.0,0.0,0.0,25.76,3.59,0.0
20180820:1630,0.0,0.0,0.0,25.73,3.52,0.0
20180820:1730,0.0,0.0,0.0,25.7,3.52,0.0
20180820:1830,0.0,0.0,0.0,25.6,3.52,0.0
20180820:1930,0.0,0.0,0.0,25.92,3.52,0.0
20180820:2030,0.0,0.0,0.0,25.94,3.93,0.0
20180820:2130,0.0,0.0,-3.22,25.95,4.0,0.0
20180820:2230,55.71,100.4,11.2,26.11,4.28,0.0
20180820:2330,205.98,275.95,25.72,26.59,4.9,0.0
20180821:0030,357.51,453.75,40.35,27.36,6.0,0.0
20180821:0130,453.68,573.65,55.0,27.93,6.21,0.0
20180821:0230,590.79,750.6,69.66,28.4,6.48,0.0
20180821:0330,671.79,863.8,84.22,28.75,7.1,0.0
20180821:0430,588.11,749.2,80.77,29.07,6.97,0.0
20180821:0530,604.42,773.8,66.15,29.09,6.55,0.0
20180821:0630,499.76,635.35,51.49,28.95,6.48,0.0
20180821:0730,342.81,440.8,36.85,29.15,6.83,0.0
20180821:0830,161.42,225.0,22.25,28.58,6.62,0.0
20180821:0930,32.34,73.45,7.74,27.93,5.52,0.0
20180821:1030,0.0,0.0,-6.66,27.35,4.62,0.0
20180821:1130,0.0,0.0,0.0,26.84,4.07,0.0
20180821:1230,0.0,0.0,0.0,26.69,3.86,0.0
20180821:1330,0.0,0.0,0.0,26.62,3.79,0.0
20180821:1430,0.0,0.0,0.0,26.55,3.93,0.0
20180821:1530,0.0,0.0,0.0,26.18,4.0,0.0
20180821:1630,0.0,0.0,0.0,26.06,3.86,0.0
20180821:1730,0.0,0.0,0.0,25.83,4.69,0.0
20180821:1830,0.0,0.0,0.0,25.76,5.03,0.0
20180821:1930,0.0,0.0,0.0,26.41,3.86,0.0
20180821:2030,0.0,0.0,0.0,26.32,3.66,0.0
20180821:2130,0.0,0.0,-3.22,26.28,4.0,0.0
20180821:2230,57.41,97.6,11.21,26.31,4.28,0.0
20180821:2330,187.89,253.05,25.75,26.82,4.9,0.0
20180822:0030,360.35,459.15,40.4,27.58,5.86,0.0
20180822:0130,515.78,654.1,55.06,28.3,6.41,0.0
20180822:0230,631.22,807.3,69.73,28.92,6.9,0.0
20180822:0330,588.28,751.55,84.35,29.38,7.24,0.0
20180822:0430,616.66,790.45,80.75,29.29,6.9,0.0
20180822:0530,571.55,729.4,66.09,29.33,6.9,0.0
20180822:0630,511.59,651.05,51.41,29.37,6.55,0.0
20180822:0730,373.18,479.3,36.76,29.23,6.14,0.0
20180822:0830,179.03,248.7,22.15,29.03,5.66,0.0
20180822:0930,29.03,63.9,7.62,28.47,4.55,0.0
20180822:1030,0.0,0.0,0.0,27.7,3.86,0.0
20180822:1130,0.0,0.0,0.0,27.2,3.52,0.0
20180822:1230,0.0,0.0,0.0,26.8,3.38,0.0
20180822:1330,0.0,0.0,0.0,26.29,3.66,0.0
20180822:1430,0.0,0.0,0.0,26.05,3.45,0.0
20180822:1530,0.0,0.0,0.0,25.65,3.59,0.0
20180822:1630,0.0,0.0,0.0,25.56,4.07,0.0
20180822:1730,0.0,0.0,0.0,25.41,4.34,0.0
20180822:1830,0.0,0.0,0.0,25.42,4.34,0.0
20180822:1930,0.0,0.0,0.0,25.72,3.86,0.0
20180822:2030,0.0,0.0,0.0,25.64,3.79,0.0
20180822:2130,0.0,0.0,-3.23,25.7,3.72,0.0
20180822:2230,58.27,100.35,11.22,25.82,3.93,0.0
20180822:2330,220.51,293.9,25.78,26.43,4.41,0.0
20180823:0030,377.2,481.05,40.44,27.34,4.62,0.0
20180823:0130,522.91,666.7,55.11,27.84,5.17,0.0
20180823:0230,643.9,834.35,69.8,28.61,5.1,0.0
20180823:0330,573.7,738.75,84.47,29.08,5.31,0.0
20180823:0430,418.43,535.8,80.71,28.65,5.45,0.0
20180823:0530,449.88,573.85,66.02,28.22,5.24,0.0
20180823:0630,427.57,544.6,51.33,28.22,5.31,0.0
20180823:0730,360.78,465.05,36.67,28.59,5.03,0.0
20180823:0830,138.9,197.4,22.05,28.58,5.1,0.0
20180823:0930,25.46,55.6,7.5,27.91,4.62,0.0
20180823:1030,0.0,0.0,0.0,27.17,4.34,0.0
20180823:1130,0.0,0.0,0.0,26.69,3.52,0.0
20180823:1230,0.0,0.0,0.0,26.35,3.17,0.0
20180823:1330,0.0,0.0,0.0,25.96,2.9,0.0
20180823:1430,0.0,0.0,0.0,25.86,2.62,0.0
20180823:1530,0.0,0.0,0.0,25.66,2.76,0.0
20180823:1630,0.0,0.0,0.0,25.61,3.03,0.0
20180823:1730,0.0,0.0,0.0,25.74,2.9,0.0
20180823:1830,0.0,0.0,0.0,25.58,3.17,0.0
20180823:1930,0.0,0.0,0.0,25.55,2.9,0.0
20180823:2030,0.0,0.0,0.0,25.54,3.1,0.0
20180823:2130,0.0,0.0,-3.23,25.55,3.17,0.0
20180823:2230,57.97,102.9,11.23,25.42,3.03,0.0
20180823:2330,216.77,289.4,25.8,25.98,3.72,0.0
20180824:0030,357.55,457.8,40.48,26.8,3.93,0.0
20180824:0130,447.4,574.2,55.16,27.27,4.14,0.0
20180824:0230,513.96,663.5,69.87,27.61,4.28,0.0
20180824:0330,519.39,668.3,84.58,27.86,4.62,0.0
20180824:0430,474.46,608.4,80.66,27.9,4.69,0.0
20180824:0530,424.19,544.0,65.95,27.97,4.55,0.0
20180824:0630,466.3,595.95,51.24,28.14,4.76,0.0
20180824:0730,283.69,367.35,36.57,28.48,5.45,0.0
20180824:0830,154.47,215.4,21.94,28.29,5.38,0.0
20180824:0930,25.08,59.2,7.38,27.66,4.76,0.0
20180824:1030,0.0,0.0,0.0,27.02,3.72,0.0
20180824:1130,0.0,0.0,0.0,26.52,3.66,0.0
20180824:1230,0.0,0.0,0.0,26.22,3.45,0.0
20180824:1330,0.0,0.0,0.0,26.01,3.1,0.0
20180824:1430,0.0,0.0,0.0,25.85,2.97,0.0
20180824:1530,0.0,0.0,0.0,25.61,2.83,0.0
20180824:1630,0.0,0.0,0.0,25.59,2.69,0.0
20180824:1730,0.0,0.0,0.0,25.46,2.69,0.0
20180824:1830,0.0,0.0,0.0,25.2,2.97,0.0
20180824:1930,0.0,0.0,0.0,25.34,3.72,0.0
20180824:2030,0.0,0.0,0.0,25.11,3.66,0.0
20180824:2130,0.0,0.0,-3.23,25.13,4.28,0.0
20180824:2230,49.06,82.5,11.25,25.4,4.28,0.0
20180824:2330,174.18,234.9,25.83,25.78,4.21,0.0
20180825:0030,326.96,416.95,40.52,26.54,4.48,0.0
20180825:0130,484.55,615.35,55.21,27.44,4.9,0.0
20180825:0230,490.49,625.5,69.93,28.11,5.1,0.0
20180825:0330,541.11,691.8,84.66,28.54,5.24,0.0
20180825:0430,616.28,796.6,80.6,28.79,5.45,0.0
20180825:0530,522.12,673.0,65.87,28.9,5.72,0.0
20180825:0630,393.44,503.25,51.15,28.58,5.45,0.0
20180825:0730,274.81,358.3,36.47,28.87,5.38,0.0
20180825:0830,110.68,158.9,21.83,28.44,4.97,0.0
20180825:0930,19.32,41.9,7.25,27.92,4.14,0.0
20180825:1030,0.0,0.0,0.0,27.3,4.07,0.0
20180825:1130,0.0,0.0,0.0,26.93,4.0,0.0
20180825:1230,0.0,0.0,0.0,26.13,4.14,0.0
20180825:1330,0.0,0.0,0.0,25.27,3.52,0.0
20180825:1430,0.0,0.0,0.0,25.27,2.83,0.0
20180825:1530,0.0,0.0,0.0,25.11,3.45,0.0
20180825:1630,0.0,0.0,0.0,25.02,3.72,0.0
20180825:1730,0.0,0.0,0.0,24.68,3.52,0.0
20180825:1830,0.0,0.0,0.0,24.79,2.62,0.0
20180825:1930,0.0,0.0,0.0,25.03,3.93,0.0
20180825:2030,0.0,0.0,0.0,25.15,3.66,0.0
20180825:2130,0.0,0.0,-3.23,25.53,3.31,0.0
20180825:2230,36.19,63.95,11.27,25.62,3.24,0.0
20180825:2330,146.1,199.5,25.86,25.99,3.79,0.0
20180826:0030,209.31,275.85,40.56,26.66,4.21,0.0
20180826:0130,343.39,442.5,55.26,27.19,4.14,0.0
20180826:0230,447.42,575.0,69.99,27.9,4.28,0.0
20180826:0330,511.49,662.45,84.73,28.4,4.48,0.0
20180826:0430,583.43,755.35,80.52,28.9,4.9,0.0
20180826:0530,527.6,679.9,65.78,29.12,4.83,0.0
20180826:0630,285.61,374.9,51.06,28.97,4.28,0.0
20180826:0730,300.27,392.45,36.36,28.46,3.03,0.0
20180826:0830,130.03,185.45,21.71,28.51,3.45,0.0
20180826:0930,21.43,50.05,7.12,27.79,3.24,0.0
20180826:1030,0.0,0.0,0.0,27.27,2.97,0.0
20180826:1130,0.0,0.0,0.0,26.82,2.76,0.0
20180826:1230,0.0,0.0,0.0,26.58,2.21,0.0
20180826:1330,0.0,0.0,0.0,26.24,2.07,0.0
20180826:1430,0.0,0.0,0.0,25.93,2.07,0.0
20180826:1530,0.0,0.0,0.0,25.62,1.79,0.0
20180826:1630,0.0,0.0,0.0,25.59,2.14,0.0
20180826:1730,0.0,0.0,0.0,25.34,2.28,0.0
20180826:1830,0.0,0.0,0.0,25.25,2.55,0.0
20180826:1930,0.0,0.0,0.0,25.25,2.34,0.0
20180826:2030,0.0,0.0,0.0,25.22,2.41,0.0
20180826:2130,0.0,0.0,-3.23,25.17,2.9,0.0
20180826:2230,34.57,65.0,11.28,25.11,3.17,0.0
20180826:2330,125.63,174.35,25.89,25.41,3.31,0.0
20180827:0030,307.85,396.25,40.6,25.96,3.38,0.0
20180827:0130,503.0,645.2,55.31,26.95,3.72,0.0
20180827:0230,601.41,783.6,70.05,27.85,3.93,0.0
20180827:0330,649.94,854.65,84.78,28.38,3.86,0.0
20180827:0430,643.31,842.45,80.43,28.63,3.86,0.0
20180827:0530,532.05,689.2,65.69,28.68,3.86,0.0
20180827:0630,414.16,534.25,50.96,28.56,3.93,0.0
20180827:0730,239.1,315.1,36.26,28.72,3.52,0.0
20180827:0830,127.9,182.15,21.59,28.47,3.31,0.0
20180827:0930,22.84,52.9,6.99,28.13,2.69,0.0
20180827:1030,0.0,0.0,0.0,27.61,1.72,0.0
20180827:1130,0.0,0.0,0.0,26.9,0.97,0.0
20180827:1230,0.0,0.0,0.0,27.55,0.41,0.0
20180827:1330,0.0,0.0,0.0,27.4,0.28,0.0
20180827:1430,0.0,0.0,0.0,27.2,0.34,0.0
20180827:1530,0.0,0.0,0.0,26.81,0.9,0.0
20180827:1630,0.0,0.0,0.0,24.92,1.31,0.0
20180827:1730,0.0,0.0,0.0,24.63,1.38,0.0
20180827:1830,0.0,0.0,0.0,24.44,1.38,0.0
20180827:1930,0.0,0.0,0.0,24.6,1.38,0.0
20180827:2030,0.0,0.0,0.0,24.68,1.17,0.0
20180827:2130,0.0,0.0,-3.23,24.89,0.97,0.0
20180827:2230,36.15,63.95,11.3,25.18,0.69,0.0
20180827:2330,180.91,245.75,25.92,25.34,0.28,0.0
20180828:0030,361.57,474.95,40.64,26.37,0.62,0.0
20180828:0130,528.28,701.35,55.36,27.53,1.1,0.0
20180828:0230,598.15,802.15,70.1,28.44,1.45,0.0
20180828:0330,668.22,908.7,84.8,28.95,1.72,0.0
20180828:0430,621.18,835.5,80.32,29.39,1.86,0.0
20180828:0530,605.23,809.7,65.59,29.54,2.14,0.0
20180828:0630,425.3,553.9,50.86,29.6,2.9,0.0
20180828:0730,275.0,359.8,36.14,28.57,3.24,0.0
20180828:0830,167.05,234.65,21.47,28.28,2.69,0.0
20180828:0930,21.42,49.7,6.86,28.13,2.14,0.0
20180828:1030,0.0,0.0,0.0,27.78,0.83,0.0
20180828:1130,0.0,0.0,0.0,27.75,0.34,0.0
20180828:1230,0.0,0.0,0.0,26.2,1.17,0.0
20180828:1330,0.0,0.0,0.0,25.69,1.79,0.0
20180828:1430,0.0,0.0,0.0,25.36,1.72,0.0
20180828:1530,0.0,0.0,0.0,25.51,1.17,0.0
20180828:1630,0.0,0.0,0.0,26.42,0.62,0.0
20180828:1730,0.0,0.0,0.0,26.37,0.28,0.0
20180828:1830,0.0,0.0,0.0,26.23,0.55,0.0
20180828:1930,0.0,0.0,0.0,25.98,0.76,0.0
20180828:2030,0.0,0.0,0.0,25.63,0.14,0.0
20180828:2130,0.0,0.0,-3.23,25.34,0.34,0.0
20180828:2230,61.45,104.75,11.32,25.04,0.34,0.0
20180828:2330,244.82,330.85,25.95,25.73,0.07,0.0
20180829:0030,452.93,597.8,40.68,26.65,0.62,0.0
20180829:0130,577.65,777.0,55.41,27.68,0.83,0.0
20180829:0230,632.24,867.5,70.15,28.46,0.69,0.0
20180829:0330,645.13,896.8,84.8,29.05,0.48,0.0
20180829:0430,639.8,891.2,80.2,29.46,0.41,0.0
20180829:0530,559.07,755.7,65.48,29.76,0.97,0.0
20180829:0630,403.69,530.6,50.75,29.75,1.52,0.0
20180829:0730,281.53,374.75,36.03,29.82,1.03,0.0
20180829:0830,122.27,177.35,21.35,29.48,0.48,0.0
20180829:0930,15.16,35.8,6.72,28.49,0.9,0.0
20180829:1030,0.0,0.0,0.0,28.03,1.03,0.0
20180829:1130,0.0,0.0,0.0,26.68,0.76,0.0
20180829:1230,0.0,0.0,0.0,26.06,1.1,0.0
20180829:1330,0.0,0.0,0.0,26.29,0.69,0.0
20180829:1430,0.0,0.0,0.0,26.1,0.83,0.0
20180829:1530,0.0,0.0,0.0,25.06,1.31,0.0
20180829:1630,0.0,0.0,0.0,26.07,0.76,0.0
20180829:1730,0.0,0.0,0.0,26.58,0.41,0.0
20180829:1830,0.0,0.0,0.0,26.39,0.28,0.0
20180829:1930,0.0,0.0,0.0,26.02,0.48,0.0
20180829:2030,0.0,0.0,0.0,25.96,0.48,0.0
20180829:2130,0.0,0.0,-3.22,25.89,0.41,0.0
20180829:2230,60.52,110.4,11.34,25.61,0.14,0.0
20180829:2330,235.59,319.1,25.99,26.18,0.28,0.0
20180830:0030,409.7,541.35,40.72,26.95,0.41,0.0
20180830:0130,535.97,716.55,55.45,27.59,0.76,0.0
20180830:0230,610.68,825.0,70.19,28.09,1.1,0.0
20180830:0330,522.96,691.65,84.77,28.65,1.72,0.0
20180830:0430,553.03,729.9,80.06,27.46,1.66,0.0
20180830:0530,374.97,493.6,65.37,27.77,1.17,0.0
20180830:0630,211.96,282.1,50.63,27.6,1.1,0.0
20180830:0730,99.01,142.15,35.91,27.37,1.52,0.0
20180830:0830,60.67,94.3,21.22,27.12,1.17,0.0
20180830:0930,8.5,24.85,6.58,26.84,0.28,0.0
20180830:1030,0.0,0.0,0.0,26.39,1.45,0.0
20180830:1130,0.0,0.0,0.0,26.04,1.52,0.0
20180830:1230,0.0,0.0,0.0,25.51,1.1,0.0
20180830:1330,0.0,0.0,0.0,25.81,0.76,0.0
20180830:1430,0.0,0.0,0.0,25.37,0.97,0.0
20180830:1530,0.0,0.0,0.0,26.01,0.69,0.0
20180830:1630,0.0,0.0,0.0,25.61,0.34,0.0
20180830:1730,0.0,0.0,0.0,25.58,0.07,0.0
20180830:1830,0.0,0.0,0.0,25.21,0.34,0.0
20180830:1930,0.0,0.0,0.0,25.41,0.28,0.0
20180830:2030,0.0,0.0,0.0,25.32,0.76,0.0
20180830:2130,0.0,0.0,-3.21,24.85,0.9,0.0
20180830:2230,28.23,59.25,11.36,24.92,0.9,0.0
20180830:2330,84.53,123.8,26.02,25.26,1.03,0.0
20180831:0030,243.62,318.35,40.76,25.94,1.31,0.0
20180831:0130,418.05,543.85,55.5,26.4,1.45,0.0
20180831:0230,418.17,548.15,70.22,26.98,1.72,0.0
20180831:0330,465.84,610.45,84.72,27.43,2.21,0.0
20180831:0430,374.49,489.7,79.91,27.8,1.59,0.0
20180831:0530,194.38,259.6,65.25,27.56,1.59,0.0
20180831:0630,128.6,176.75,50.52,26.77,0.83,0.0
20180831:0730,76.34,113.25,35.79,26.34,1.03,0.0
20180831:0830,32.17,56.5,21.09,26.34,0.41,0.0
20180831:0930,0.84,8.1,6.44,25.88,0.14,0.0
20180831:1030,0.0,0.0,0.0,25.25,1.03,0.0
20180831:1130,0.0,0.0,0.0,24.98,1.17,0.0
20180831:1230,0.0,0.0,0.0,25.0,1.72,0.0
20180831:1330,0.0,0.0,0.0,24.96,1.86,0.0
20180831:1430,0.0,0.0,0.0,24.74,1.52,0.0
20180831:1530,0.0,0.0,0.0,24.77,1.79,0.0
20180831:1630,0.0,0.0,0.0,24.7,1.93,0.0
20180831:1730,0.0,0.0,0.0,24.29,1.24,0.0
20180831:1830,0.0,0.0,0.0,24.34,0.97,0.0
20180831:1930,0.0,0.0,0.0,25.32,0.69,0.0
20180831:2030,0.0,0.0,0.0,25.15,0.48,0.0
20180831:2130,0.0,0.0,-3.21,25.19,0.69,0.0
20180831:2230,39.18,69.85,11.38,25.3,0.48,0.0
20180831:2330,167.35,228.45,26.05,25.35,0.34,0.0
20180901:0030,326.22,425.95,40.8,26.05,1.1,0.0
20180901:0130,464.48,607.0,55.54,26.84,1.66,0.0
20180901:0230,438.29,570.8,70.26,27.43,2.21,0.0
20180901:0330,517.51,673.85,84.65,27.23,2.69,0.0
20180901:0430,398.56,512.9,79.75,27.03,3.03,0.0
20180901:0530,288.41,372.45,65.13,26.52,2.48,0.0
20180901:0630,236.0,308.45,50.39,26.37,2.41,0.0
20180901:0730,144.72,197.3,35.66,26.84,2.14,0.0
20180901:0830,77.4,115.85,20.96,26.74,2.76,0.0
20180901:0930,8.93,24.15,6.3,26.39,1.93,0.0
20180901:1030,0.0,0.0,0.0,25.79,2.07,0.0
20180901:1130,0.0,0.0,0.0,25.36,2.14,0.0
20180901:1230,0.0,0.0,0.0,25.65,2.0,0.0
20180901:1330,0.0,0.0,0.0,25.51,2.14,0.0
20180901:1430,0.0,0.0,0.0,25.23,2.0,0.0
20180901:1530,0.0,0.0,0.0,25.17,2.41,0.0
20180901:1630,0.0,0.0,0.0,24.81,2.97,0.0
20180901:1730,0.0,0.0,0.0,24.77,3.03,0.0
20180901:1830,0.0,0.0,0.0,25.15,2.62,0.0
20180901:1930,0.0,0.0,0.0,24.73,2.76,0.0
20180901:2030,0.0,0.0,0.0,25.08,2.76,0.0
20180901:2130,0.0,0.0,-3.2,24.61,3.03,0.0
20180901:2230,49.19,83.9,11.41,24.57,3.79,0.0
20180901:2330,189.15,252.9,26.08,25.28,4.0,0.0
20180902:0030,343.81,437.8,40.84,26.12,4.14,0.0
20180902:0130,426.85,542.05,55.57,26.8,4.21,0.0
20180902:0230,531.55,680.8,70.28,27.15,4.14,0.0
20180902:0330,504.41,649.5,84.55,27.58,4.28,0.0
20180902:0430,383.65,489.8,79.58,27.2,4.55,0.0
20180902:0530,481.88,617.65,64.99,27.1,4.48,0.0
20180902:0630,290.52,375.1,50.27,27.49,4.34,0.0
20180902:0730,272.37,353.7,35.53,27.34,4.76,0.0
20180902:0830,124.47,177.8,20.82,27.15,4.76,0.0
20180902:0930,18.23,44.8,6.16,26.87,4.21,0.0
20180902:1030,0.0,0.0,0.0,26.46,3.72,0.0
20180902:1130,0.0,0.0,0.0,26.12,3.59,0.0
20180902:1230,0.0,0.0,0.0,25.8,3.86,0.0
20180902:1330,0.0,0.0,0.0,25.48,3.72,0.0
20180902:1430,0.0,0.0,0.0,25.26,4.28,0.0
20180902:1530,0.0,0.0,0.0,24.85,4.69,0.0
20180902:1630,0.0,0.0,0.0,24.6,4.34,0.0
20180902:1730,0.0,0.0,0.0,24.67,4.48,0.0
20180902:1830,0.0,0.0,0.0,24.69,4.97,0.0
20180902:1930,0.0,0.0,0.0,25.02,5.24,0.0
20180902:2030,0.0,0.0,0.0,24.95,5.24,0.0
20180902:2130,0.0,0.0,-3.19,25.2,4.9,0.0
20180902:2230,36.14,63.5,11.43,25.31,4.83,0.0
20180902:2330,138.74,189.45,26.11,25.25,6.41,0.0
20180903:0030,279.89,358.0,40.87,25.81,6.69,0.0
20180903:0130,340.73,430.8,55.61,26.11,7.31,0.0
20180903:0230,416.81,527.9,70.3,26.51,6.76,0.0
20180903:0330,532.09,674.3,84.43,27.14,6.9,0.0
20180903:0430,427.94,544.5,79.39,27.63,7.59,0.0
20180903:0530,290.52,372.35,64.86,26.96,6.9,0.0
20180903:0630,278.24,357.35,50.14,26.29,6.69,0.0
20180903:0730,245.07,318.25,35.4,27.13,5.93,0.0
20180903:0830,67.0,103.8,20.68,26.44,6.07,0.0
20180903:0930,9.36,27.05,6.01,25.83,5.17,0.0
20180903:1030,0.0,0.0,0.0,25.42,4.9,0.0
20180903:1130,0.0,0.0,0.0,25.04,4.9,0.0
20180903:1230,0.0,0.0,0.0,25.21,4.62,0.0
20180903:1330,0.0,0.0,0.0,25.32,4.76,0.0
20180903:1430,0.0,0.0,0.0,24.9,5.24,0.0
20180903:1530,0.0,0.0,0.0,24.95,4.55,0.0
20180903:1630,0.0,0.0,0.0,24.96,4.62,0.0
20180903:1730,0.0,0.0,0.0,24.85,5.38,0.0
20180903:1830,0.0,0.0,0.0,24.83,5.17,0.0
20180903:1930,0.0,0.0,0.0,25.05,4.76,0.0
20180903:2030,0.0,0.0,0.0,24.99,4.41,0.0
20180903:2130,0.0,0.0,-3.17,25.04,4.62,0.0
20180903:2230,17.27,36.95,11.45,25.04,4.55,0.0
20180903:2330,50.16,79.35,26.15,25.02,4.41,0.0
20180904:0030,89.74,128.65,40.91,25.39,4.07,0.0
20180904:0130,103.22,145.45,55.64,25.82,4.21,0.0
20180904:0230,147.72,200.25,70.32,25.95,4.34,0.0
20180904:0330,104.98,147.7,84.28,25.75,5.17,0.0
20180904:0430,129.18,176.4,79.19,25.46,5.45,0.0
20180904:0530,98.43,139.4,64.71,25.51,5.45,0.0
20180904:0630,85.87,123.95,50.0,25.82,5.59,0.0
20180904:0730,46.55,74.9,35.26,25.81,5.1,0.0
20180904:0830,14.19,31.0,20.54,25.39,5.24,0.0
20180904:0930,0.0,5.05,5.86,25.25,4.9,0.0
20180904:1030,0.0,0.0,0.0,25.17,4.76,0.0
20180904:1130,0.0,0.0,0.0,25.22,4.69,0.0
20180904:1230,0.0,0.0,0.0,25.05,4.9,0.0
20180904:1330,0.0,0.0,0.0,24.92,4.28,0.0
20180904:1430,0.0,0.0,0.0,24.9,3.79,0.0
20180904:1530,0.0,0.0,0.0,24.96,3.86,0.0
20180904:1630,0.0,0.0,0.0,24.91,4.28,0.0
20180904:1730,0.0,0.0,0.0,24.9,4.41,0.0
20180904:1830,0.0,0.0,0.0,24.89,4.34,0.0
20180904:1930,0.0,0.0,0.0,24.81,4.48,0.0
20180904:2030,0.0,0.0,0.0,24.59,4.41,0.0
20180904:2130,0.0,0.0,-3.16,24.46,4.76,0.0
20180904:2230,31.8,57.75,11.48,24.35,5.24,0.0
20180904:2330,121.77,168.75,26.18,24.65,5.03,0.0
20180905:0030,328.72,417.9,40.94,25.16,5.03,0.0
20180905:0130,279.93,356.55,55.68,26.02,5.72,0.0
20180905:0230,233.69,302.95,70.33,26.35,5.66,0.0
20180905:0330,290.08,370.3,84.12,26.09,5.52,0.0
20180905:0430,233.19,303.05,78.99,26.17,4.97,0.0
20180905:0530,276.42,355.25,64.56,26.32,4.41,0.0
20180905:0630,247.35,321.15,49.86,26.65,4.28,0.0
20180905:0730,182.4,242.45,35.13,26.84,4.83,0.0
20180905:0830,92.02,134.05,20.4,26.48,4.34,0.0
20180905:0930,11.02,29.87,5.71,25.73,4.48,0.0
20180905:1030,0.0,0.0,0.0,25.25,4.34,0.0
20180905:1130,0.0,0.0,0.0,24.95,4.9,0.0
20180905:1230,0.0,0.0,0.0,25.0,4.76,0.0
20180905:1330,0.0,0.0,0.0,25.01,4.41,0.0
20180905:1430,0.0,0.0,0.0,25.05,4.34,0.0
20180905:1530,0.0,0.0,0.0,24.71,4.69,0.0
20180905:1630,0.0,0.0,0.0,24.64,4.76,0.0
20180905:1730,0.0,0.0,0.0,24.49,4.9,0.0
20180905:1830,0.0,0.0,0.0,24.54,5.17,0.0
20180905:1930,0.0,0.0,0.0,24.57,5.66,0.0
20180905:2030,0.0,0.0,0.0,24.64,5.59,0.0
20180905:2130,0.0,0.0,-3.15,24.86,5.66,0.0
20180905:2230,13.81,30.85,11.5,24.88,6.0,0.0
20180905:2330,69.09,103.3,26.21,24.89,6.41,0.0
20180906:0030,231.65,299.4,40.98,25.38,6.0,0.0
20180906:0130,292.59,374.15,55.7,26.46,5.86,0.0
20180906:0230,285.24,362.55,70.33,25.81,6.48,0.0
20180906:0330,293.93,374.3,83.93,26.33,6.07,0.0
20180906:0430,261.97,338.85,78.77,26.47,6.62,0.0
20180906:0530,150.47,202.65,64.41,26.1,7.17,0.0
20180906:0630,237.69,306.3,49.72,25.84,7.17,0.0
20180906:0730,199.81,262.0,34.98,26.3,6.9,0.0
20180906:0830,112.51,159.4,20.25,26.37,6.48,0.0
20180906:0930,10.22,28.55,5.56,26.36,6.14,0.0
20180906:1030,0.0,0.0,0.0,26.2,5.24,0.0
20180906:1130,0.0,0.0,0.0,26.09,5.17,0.0
20180906:1230,0.0,0.0,0.0,26.12,5.45,0.0
20180906:1330,0.0,0.0,0.0,25.89,5.72,0.0
20180906:1430,0.0,0.0,0.0,25.5,5.66,0.0
20180906:1530,0.0,0.0,0.0,25.03,5.72,0.0
20180906:1630,0.0,0.0,0.0,24.9,6.0,0.0
20180906:1730,0.0,0.0,0.0,25.0,5.66,0.0
20180906:1830,0.0,0.0,0.0,25.07,5.17,0.0
20180906:1930,0.0,0.0,0.0,25.3,5.31,0.0
20180906:2030,0.0,0.0,0.0,25.42,5.31,0.0
20180906:2130,0.0,0.0,-3.13,25.48,5.17,0.0
20180906:2230,55.1,95.55,11.53,25.07,5.03,0.0
20180906:2330,163.73,221.1,26.24,25.28,4.97,0.0
20180907:0030,353.74,448.75,41.01,26.13,5.31,0.0
20180907:0130,407.55,514.95,55.73,26.77,6.07,0.0
20180907:0230,579.77,735.55,70.32,27.25,6.34,0.0
20180907:0330,581.65,735.5,83.73,27.84,6.76,0.0
20180907:0430,646.81,822.0,78.54,28.16,7.38,0.0
20180907:0530,507.37,638.5,64.24,27.99,7.66,0.0
20180907:0630,335.14,428.5,49.57,27.97,6.48,0.0
20180907:0730,219.68,288.35,34.84,27.54,6.48,0.0
20180907:0830,100.78,145.75,20.11,27.13,6.0,0.0
20180907:0930,9.67,30.43,5.4,26.35,5.1,0.0
20180907:1030,0.0,0.0,0.0,25.84,3.52,0.0
20180907:1130,0.0,0.0,0.0,25.62,3.1,0.0
20180907:1230,0.0,0.0,0.0,25.55,3.17,0.0
20180907:1330,0.0,0.0,0.0,25.58,2.9,0.0
20180907:1430,0.0,0.0,0.0,25.64,2.97,0.0
20180907:1530,0.0,0.0,0.0,25.3,3.31,0.0
20180907:1630,0.0,0.0,0.0,25.1,3.45,0.0
20180907:1730,0.0,0.0,0.0,25.22,2.83,0.0
20180907:1830,0.0,0.0,0.0,25.0,3.24,0.0
20180907:1930,0.0,0.0,0.0,24.95,4.21,0.0
20180907:2030,0.0,0.0,0.0,25.05,3.24,0.0
20180907:2130,0.0,0.0,-3.12,25.19,3.03,0.0
20180907:2230,55.04,93.95,11.55,25.25,2.83,0.0
20180907:2330,229.16,304.7,26.27,25.91,3.03,0.0
